"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Voto",,
"ABELARDO CAMARINHA","PSB","SP","T","Sim","PSB:Sim","SP:Sim"
"ABELARDO LUPION","DEM","PR","T","Ausente","DEM:Ausente","PR:Ausente"
"ADEMIR CAMILO","PDT","MG","T","Sim","PDT:Sim","MG:Sim"
"AELTON FREITAS","PR","MG","T","Sim","PR:Sim","MG:Sim"
"AFFONSO CAMARGO","PSDB","PR","T","Ausente","PSDB:Ausente","PR:Ausente"
"AFONSO HAMM","PP","RS","T","Ausente","PP:Ausente","RS:Ausente"
"AGNALDO MUNIZ","PSC","RO","E","Abstenção","PSC:Abstenção","RO:Abstenção"
"ALBANO FRANCO","PSDB","SE","T","Ausente","PSDB:Ausente","SE:Ausente"
"ALBERTO FRAGA","DEM","DF","T","Sim","DEM:Sim","DF:Sim"
"ALCENI GUERRA","DEM","PR","T","Sim","DEM:Sim","PR:Sim"
"ALDO REBELO","PCdoB","SP","T","Sim","PCdoB:Sim","SP:Sim"
"ALEX CANZIANI","PTB","PR","T","Sim","PTB:Sim","PR:Sim"
"ALEXANDRE SANTOS","PMDB","RJ","T","Sim","PMDB:Sim","RJ:Sim"
"ALEXANDRE SILVEIRA","PPS","MG","T","Sim","PPS:Sim","MG:Sim"
"ALFREDO KAEFER","PSDB","PR","T","Não","PSDB:Não","PR:Não"
"ALICE PORTUGAL","PCdoB","BA","T","Sim","PCdoB:Sim","BA:Sim"
"ALINE CORRÊA","PP","SP","T","Ausente","PP:Ausente","SP:Ausente"
"ANA ARRAES","PSB","PE","T","Sim","PSB:Sim","PE:Sim"
"ANDRÉ DE PAULA","DEM","PE","T","Ausente","DEM:Ausente","PE:Ausente"
"ANDRE VARGAS","PT","PR","T","Sim","PT:Sim","PR:Sim"
"ANDREIA ZITO","PSDB","RJ","T","Ausente","PSDB:Ausente","RJ:Ausente"
"ANGELA AMIN","PP","SC","T","Sim","PP:Sim","SC:Sim"
"ANGELA PORTELA","PT","RR","T","Sim","PT:Sim","RR:Sim"
"ANGELO VANHONI","PT","PR","T","Sim","PT:Sim","PR:Sim"
"ANÍBAL GOMES","PMDB","CE","T","Sim","PMDB:Sim","CE:Sim"
"ANN PONTES","PMDB","PA","E","Sim","PMDB:Sim","PA:Sim"
"ANSELMO DE JESUS","PT","RO","T","Ausente","PT:Ausente","RO:Ausente"
"ANTÔNIO ANDRADE","PMDB","MG","T","Sim","PMDB:Sim","MG:Sim"
"ANTONIO BULHÕES","PRB","SP","T","Sim","PRB:Sim","SP:Sim"
"ANTÔNIO CARLOS BIFFI","PT","MS","T","Sim","PT:Sim","MS:Sim"
"ANTONIO CARLOS BISCAIA","PT","RJ","S","Sim","PT:Sim","RJ:Sim"
"ANTONIO CARLOS CHAMARIZ","PTB","AL","E","Sim","PTB:Sim","AL:Sim"
"ANTONIO CARLOS MAGALHÃES NETO","DEM","BA","T","Sim","DEM:Sim","BA:Sim"
"ANTONIO CARLOS MENDES THAME","PSDB","SP","T","Ausente","PSDB:Ausente","SP:Ausente"
"ANTONIO CARLOS PANNUNZIO","PSDB","SP","T","Sim","PSDB:Sim","SP:Sim"
"ANTONIO CRUZ","PP","MS","T","Sim","PP:Sim","MS:Sim"
"ANTONIO JOSÉ MEDEIROS","PT","PI","T","Ausente","PT:Ausente","PI:Ausente"
"ANTONIO PALOCCI","PT","SP","T","Ausente","PT:Ausente","SP:Ausente"
"ANTÔNIO ROBERTO","PV","MG","T","Sim","PV:Sim","MG:Sim"
"ARACELY DE PAULA","PR","MG","T","Sim","PR:Sim","MG:Sim"
"ARIOSTO HOLANDA","PSB","CE","T","Sim","PSB:Sim","CE:Sim"
"ARLINDO CHINAGLIA","PT","SP","T","Ausente","PT:Ausente","SP:Ausente"
"ARMANDO ABÍLIO","PTB","PB","T","Sim","PTB:Sim","PB:Sim"
"ARMANDO MONTEIRO","PTB","PE","T","Ausente","PTB:Ausente","PE:Ausente"
"ARNALDO FARIA DE SÁ","PTB","SP","T","Ausente","PTB:Ausente","SP:Ausente"
"ARNALDO JARDIM","PPS","SP","T","Sim","PPS:Sim","SP:Sim"
"ARNALDO MADEIRA","PSDB","SP","T","Ausente","PSDB:Ausente","SP:Ausente"
"ARNALDO VIANNA","PDT","RJ","T","Ausente","PDT:Ausente","RJ:Ausente"
"ARNON BEZERRA","PTB","CE","T","Ausente","PTB:Ausente","CE:Ausente"
"AROLDE DE OLIVEIRA","DEM","RJ","T","Ausente","DEM:Ausente","RJ:Ausente"
"ASDRUBAL BENTES","PMDB","PA","T","Sim","PMDB:Sim","PA:Sim"
"ASSIS DO COUTO","PT","PR","T","Não","PT:Não","PR:Não"
"ÁTILA LINS","PMDB","AM","T","Sim","PMDB:Sim","AM:Sim"
"ÁTILA LIRA","PSB","PI","T","Sim","PSB:Sim","PI:Sim"
"AUGUSTO CARVALHO","PPS","DF","T","Não","PPS:Não","DF:Não"
"AUGUSTO FARIAS","PTB","AL","E","Ausente","PTB:Ausente","AL:Ausente"
"BEL MESQUITA","PMDB","PA","T","Sim","PMDB:Sim","PA:Sim"
"BENEDITO DE LIRA","PP","AL","T","Sim","PP:Sim","AL:Sim"
"BERNARDO ARISTON","PMDB","RJ","T","Sim","PMDB:Sim","RJ:Sim"
